prodNo,sntyNo,brand,model,storage_gb,color,price,weight_g,display_size_cm
WL00075903,WL000759030001,Apple,iPhone 17,256GB,블랙,1287000 ,179,15.9
WL00075903,WL000759030002,Apple,iPhone 17,256GB,화이트,1287000 ,179,15.9
WL00075903,WL000759030003,Apple,iPhone 17,256GB,미스트 블루,1287000 ,179,15.9
WL00075903,WL000759030004,Apple,iPhone 17,256GB,라벤더,1287000 ,179,15.9
WL00075903,WL000759030005,Apple,iPhone 17,256GB,세이지,1287000 ,179,15.9
WL00075903,WL000759030006,Apple,iPhone 17,512GB,블랙,1584000 ,179,15.9
WL00075903,WL000759030007,Apple,iPhone 17,512GB,화이트,1584000 ,179,15.9
WL00075903,WL000759030008,Apple,iPhone 17,512GB,미스트 블루,1584000 ,179,15.9
WL00075903,WL000759030009,Apple,iPhone 17,512GB,라벤더,1584000 ,179,15.9
WL00075903,WL000759030010,Apple,iPhone 17,512GB,세이지,1584000 ,179,15.9
WL00075905,WL000759050001,Apple,iPhone 17 Pro,256GB,실버,1782000 ,204,15.9
WL00075905,WL000759050002,Apple,iPhone 17 Pro,256GB,코스믹 오렌지,1782000 ,204,15.9
WL00075905,WL000759050003,Apple,iPhone 17 Pro,256GB,딥 블루,1782000 ,204,15.9
WL00075905,WL000759050004,Apple,iPhone 17 Pro,512GB,실버,2090000 ,204,15.9
WL00075905,WL000759050005,Apple,iPhone 17 Pro,512GB,코스믹 오렌지,2090000 ,204,15.9
WL00075905,WL000759050006,Apple,iPhone 17 Pro,512GB,딥 블루,2090000 ,204,15.9
WL00075905,WL000759050007,Apple,iPhone 17 Pro,1TB,실버,2387000 ,204,15.9
WL00075905,WL000759050008,Apple,iPhone 17 Pro,1TB,코스믹 오렌지,2387000 ,204,15.9
WL00075905,WL000759050009,Apple,iPhone 17 Pro,1TB,딥 블루,2387000 ,204,15.9
WL00075906,WL000759060001,Apple,iPhone 17 Pro Max,256GB,실버,1980000 ,231,17.4
WL00075906,WL000759060002,Apple,iPhone 17 Pro Max,256GB,코스믹 오렌지,1980000 ,231,17.4
WL00075906,WL000759060003,Apple,iPhone 17 Pro Max,256GB,딥 블루,1980000 ,231,17.4
WL00075906,WL000759060004,Apple,iPhone 17 Pro Max,512GB,실버,2288000 ,231,17.4
WL00075906,WL000759060005,Apple,iPhone 17 Pro Max,512GB,코스믹 오렌지,2288000 ,231,17.4
WL00075906,WL000759060006,Apple,iPhone 17 Pro Max,512GB,딥 블루,2288000 ,231,17.4
WL00075906,WL000759060007,Apple,iPhone 17 Pro Max,1TB,실버,2585000 ,231,17.4
WL00075906,WL000759060008,Apple,iPhone 17 Pro Max,1TB,코스믹 오렌지,2585000 ,231,17.4
WL00075906,WL000759060009,Apple,iPhone 17 Pro Max,1TB,딥 블루,2585000 ,231,17.4
WL00075906,WL000759060010,Apple,iPhone 17 Pro Max,2TB,실버,3190000 ,231,17.4
WL00075906,WL000759060011,Apple,iPhone 17 Pro Max,2TB,코스믹 오렌지,3190000 ,231,17.4
WL00075906,WL000759060012,Apple,iPhone 17 Pro Max,2TB,딥 블루,3190000 ,231,17.4
WL00075904,WL000759040001,Apple,iPhone Air,256GB,스페이스 블랙,1584000 ,165,16.6
WL00075904,WL000759040002,Apple,iPhone Air,256GB,클라우드 화이트,1584000 ,165,16.6
WL00075904,WL000759040003,Apple,iPhone Air,256GB,라이트 골드,1584000 ,165,16.6
WL00075904,WL000759040004,Apple,iPhone Air,256GB,스카이 블루,1584000 ,165,16.6
WL00075904,WL000759040005,Apple,iPhone Air,512GB,스페이스 블랙,1881000 ,165,16.6
WL00075904,WL000759040006,Apple,iPhone Air,512GB,클라우드 화이트,1881000 ,165,16.6
WL00075904,WL000759040007,Apple,iPhone Air,512GB,라이트 골드,1881000 ,165,16.6
WL00075904,WL000759040008,Apple,iPhone Air,512GB,스카이 블루,1881000 ,165,16.6
WL00075904,WL000759040009,Apple,iPhone Air,1TB,스페이스 블랙,2189000 ,165,16.6
WL00075904,WL000759040010,Apple,iPhone Air,1TB,클라우드 화이트,2189000 ,165,16.6
WL00075904,WL000759040011,Apple,iPhone Air,1TB,라이트 골드,2189000 ,165,16.6
WL00075904,WL000759040012,Apple,iPhone Air,1TB,스카이 블루,2189000 ,165,16.6
WL00074994,WL000749940001,Samsung,갤럭시 Z Flip7,256GB,블루 쉐도우,1485000 ,188,17.41
WL00074994,WL000749940002,Samsung,갤럭시 Z Flip7,256GB,제트블랙,1485000 ,188,17.41
WL00074994,WL000749940003,Samsung,갤럭시 Z Flip7,256GB,코랄레드,1485000 ,188,17.41
WL00074994,WL000749940004,Samsung,갤럭시 Z Flip7,512GB,블루 쉐도우,1643400 ,188,17.41
WL00074994,WL000749940005,Samsung,갤럭시 Z Flip7,512GB,제트블랙,1643400 ,188,17.41
WL00074994,WL000749940006,Samsung,갤럭시 Z Flip7,512GB,코랄레드,1643400 ,188,17.41
WL00074993,WL000749930001,Samsung,갤럭시 Z Flip7 FE,256GB,화이트,1199000 ,187,17.03
WL00074993,WL000749930002,Samsung,갤럭시 Z Flip7 FE,256GB,블랙,1199000 ,187,17.03
WL00075257,WL000752570007,Samsung,갤럭시 Z Fold7,1TB,블루 쉐도우,2933700 ,215,20.31
WL00075257,WL000752570008,Samsung,갤럭시 Z Fold7,1TB,제트블랙,2933700 ,215,20.31
WL00075257,WL000752570009,Samsung,갤럭시 Z Fold7,512GB,실버 쉐도우,2537700 ,215,20.31
WL00075257,WL000752570010,Samsung,갤럭시 Z Fold7,512GB,제트블랙,2537700 ,215,20.31
WL00075257,WL000752570011,Samsung,갤럭시 Z Fold7,512GB,블루 쉐도우,2537700 ,215,20.31
WL00075257,WL000752570012,Samsung,갤럭시 Z Fold7,256GB,실버 쉐도우,2379300 ,215,20.31
WL00075257,WL000752570013,Samsung,갤럭시 Z Fold7,256GB,제트블랙,2379300 ,215,20.31
WL00075257,WL000752570014,Samsung,갤럭시 Z Fold7,256GB,블루 쉐도우,2379300 ,215,20.31
WL00073115,WL000731150001,Samsung,갤럭시 S25,256GB,네이비,1155000 ,162,15.64
WL00073115,WL000731150003,Samsung,갤럭시 S25,256GB,민트,1155000 ,162,15.64
WL00073115,WL000731150004,Samsung,갤럭시 S25,256GB,실버 쉐도우,1155000 ,162,15.64
WL00073115,WL000731150005,Samsung,갤럭시 S25,512GB,네이비,1298000 ,162,15.64
WL00073115,WL000731150007,Samsung,갤럭시 S25,512GB,민트,1298000 ,162,15.64
WL00073115,WL000731150008,Samsung,갤럭시 S25,512GB,실버 쉐도우,1298000 ,162,15.64
WL00073115,WL000731150009,Samsung,갤럭시 S25,512GB,아이스블루,1298000 ,162,15.64
WL00073115,WL000731150010,Samsung,갤럭시 S25,256GB,아이스블루,1155000 ,162,15.64
WL00073118,WL000731180001,Samsung,갤럭시 S25 Ultra,256GB,티타늄 실버블루,1698400 ,218,17.42
WL00073118,WL000731180002,Samsung,갤럭시 S25 Ultra,256GB,티타늄 블랙,1698400 ,218,17.42
WL00073118,WL000731180003,Samsung,갤럭시 S25 Ultra,256GB,티타늄 화이트실버,1698400 ,218,17.42
WL00073118,WL000731180004,Samsung,갤럭시 S25 Ultra,256GB,티타늄 그레이,1698400 ,218,17.42
WL00073118,WL000731180005,Samsung,갤럭시 S25 Ultra,512GB,티타늄 실버블루,1841400 ,218,17.42
WL00073118,WL000731180006,Samsung,갤럭시 S25 Ultra,512GB,티타늄 블랙,1841400 ,218,17.42
WL00073118,WL000731180007,Samsung,갤럭시 S25 Ultra,512GB,티타늄 화이트실버,1841400 ,218,17.42
WL00073118,WL000731180008,Samsung,갤럭시 S25 Ultra,512GB,티타늄 그레이,1841400 ,218,17.42
WL00073118,WL000731180009,Samsung,갤럭시 S25 Ultra,1TB,티타늄 그레이,2127400 ,218,17.42
WL00073118,WL000731180010,Samsung,갤럭시 S25 Ultra,1TB,티타늄 화이트실버,2127400 ,218,17.42
